datetime,open,high,low,close,bearish_engulfing
2014-06-30,1.4469999999999998,1.4552,1.4464,1.4516,0
2014-06-27,1.4448,1.4505,1.4426,1.4483,0
2014-06-26,1.4478,1.4518,1.4428,1.4459,0
2014-06-25,1.4521,1.456,1.4476,1.4487,0
2014-06-24,1.4434,1.4535,1.4412,1.4525,0
2014-06-23,1.4499,1.4514,1.4372,1.444,1
2014-06-20,1.4475,1.4499,1.4439,1.4486,0
2014-06-19,1.4447,1.4501,1.4437,1.4480000000000002,0
2014-06-18,1.4501,1.4556,1.4435,1.4451,0
2014-06-17,1.4438,1.4531,1.4427,1.4509,0
2014-06-16,1.44,1.4466,1.4378,1.444,0
2014-06-13,1.4372,1.4466,1.4363,1.4405,0
2014-06-12,1.4415,1.4472,1.4353,1.4377,0
2014-06-11,1.4452,1.4466,1.4386,1.4422,0
2014-06-10,1.4524,1.4551,1.4432,1.4455,0
2014-06-09,1.461,1.4626,1.4516,1.4529,0
2014-06-06,1.4622,1.4653,1.4556,1.4617,0
2014-06-05,1.4655,1.4687,1.4501,1.4625,0
2014-06-04,1.4706,1.4718,1.4642,1.4659,0
2014-06-03,1.4698,1.4749,1.4633,1.471,0
2014-06-02,1.4629,1.4754,1.4618,1.4705,0
2014-05-30,1.4609,1.4682,1.4576,1.4639,0
2014-05-29,1.4712,1.4758,1.46,1.4613,0
2014-05-28,1.4719,1.4764,1.4694,1.4716,0
2014-05-27,1.4772,1.4781,1.4706,1.4725,0
2014-05-26,1.4746,1.4777,1.473,1.4774,0
2014-05-23,1.4796,1.4816,1.4736,1.477,1
2014-05-22,1.4791,1.4839,1.4732,1.4807,0
2014-05-21,1.4819,1.4878,1.4780000000000002,1.4794,0
2014-05-20,1.4687,1.483,1.4675,1.4825,0
2014-05-19,1.4627,1.4707,1.4594,1.4697,0
2014-05-16,1.4651,1.4708,1.4608,1.4626,0
2014-05-15,1.4622,1.4694,1.4557,1.4654,0
2014-05-14,1.463,1.4657,1.4566,1.4625,0
2014-05-13,1.4693,1.4759,1.4613,1.464,0
2014-05-12,1.4681,1.4718,1.4658,1.4697,0
2014-05-09,1.4756,1.4807,1.4682,1.4695,0
2014-05-08,1.4912,1.4934,1.4749,1.4767,0
2014-05-07,1.4887,1.4943,1.4881,1.4916,0
2014-05-06,1.4952,1.4984,1.4856,1.4895,0
2014-05-05,1.4949,1.5004,1.4877,1.4962,0
2014-05-02,1.4949,1.5039,1.4926,1.4952,0
2014-05-01,1.492,1.4984,1.4903,1.4953,0
2014-04-30,1.49,1.4985,1.4818,1.493,0
2014-04-29,1.4958,1.5022,1.4880000000000002,1.4902,0
2014-04-28,1.4898,1.4987,1.4847,1.4961,0
2014-04-25,1.4924,1.4943,1.487,1.4914,0
2014-04-24,1.487,1.4951,1.4853,1.493,0
2014-04-23,1.4732,1.4932,1.4713,1.4871,0
2014-04-22,1.4781,1.4802,1.471,1.4735,0
2014-04-21,1.479,1.4829,1.4761,1.4786,0
2014-04-18,1.4804,1.4828,1.4784,1.4804,0
2014-04-17,1.4738,1.4843,1.4723,1.4811,0
2014-04-16,1.4752,1.4825,1.4711,1.4743,0
2014-04-15,1.4659,1.4803,1.4652,1.4758,0
2014-04-14,1.4726,1.4774,1.4653,1.4666,0
2014-04-11,1.4751,1.4844,1.4726,1.4776,0
2014-04-10,1.4745,1.4786,1.4644,1.4753,0
2014-04-09,1.4729,1.4791,1.4685,1.4754,0
2014-04-08,1.4816,1.4842,1.4725,1.4735,0
2014-04-07,1.4731,1.4852,1.4717,1.4822,0
2014-04-04,1.4856,1.4876,1.4689,1.4747,0
2014-04-03,1.4882,1.4955,1.4832,1.4862,0
2014-04-02,1.4914,1.4966,1.487,1.4886,0
2014-04-01,1.4862,1.495,1.4807,1.4918,0
2014-03-31,1.4872,1.4962,1.4842,1.4864,0
2014-03-28,1.4831,1.4901,1.477,1.487,0
2014-03-27,1.4939,1.4963,1.4821,1.4838,0
